"","AWT_seg_Thirona_P2","BODE_P2","Change_P2_P3_distwalked","Change_P2_P3_FEV1_ml","Change_P2_P3_FEV1_ml_yr","Change_P2_P3_FEV1pp","Change_P2_P3_lung_density_vnb","Chronic_Bronchitis_P2","copd_P2","distwalked_P2","DLco_raw_P2","Exacerbation_Frequency_P2","FEF2575_post_P2","FEV1_FVC_post_P2","FEV1_post_P2","finalGold_P2","FRC_Thirona_P2","FRC_TLC_ratio_Thirona_P2","FVC_post_P2","lung_density_vnb_P2","pctEmph_Thirona_P2","pctGasTrap_Thirona_P2","PEF_post_P2","Pi10_Thirona_P2","Resting_SaO2_P2","Severe_Exacerbations_P2","SGRQ_scoreTotal_P2","TLC_Thirona_P2","WallAreaPct_seg_Thirona_P2"
"(Intercept)",0.945131548630018,0.480550334134777,-111.590076335878,-216.210452961672,-41.7073170731707,-2.07043235704324,-2.25244605364402,-2.42782729183351,-1.11383695857189,1386.13158848529,19.1523445517897,-0.856537325570015,1.81394408361919,0.745965303885824,2.59920715139658,0.777081274188211,1.0038094799871,0.567840132707353,3.28627560002964,108.579612278839,-1.00761337380966,1.85166729385289,7.66858438463359,0.616217481481564,97.2630439878307,-2.33374026077384,2.92346469239902,1.53963456686946,45.9979814045713
"M0000000035",-0.00509810780552859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113412251875563,0,0,0,0,0,0,0,-0.00663706414337625,0.147082269883403,0,-0.0228611307738484,0,-0.720296199711014
"M0000000050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069905223385442,0
"M0000000062",0,0,0,0,0,0,0,0,-0.109028551582933,0,0,0,0.0535254071392945,0.0102265577863174,0.0316343610835992,-0.0809395927324729,0,-0.00242701332352753,0,0,0,-0.00202062986402358,0.0681847721812582,-0.021586020634668,0,0,0,0,0
"M0000000093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000098",0,0,0,0,0,0,0,0,0,0,0.344612020440403,0,0.0229610829950252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000111",0,0,0,0,0,0,0,0,0,0,0.16053523751698,0,0,0,0.0397680694958959,0,0,-0.0234746462881597,0,0,0,0,0,-0.00211810914251484,0,0,0,0,0
"M0000000112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000158",0.0592489454819695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138967732100475,0,0,0,0,1.74737814172735
"M0000000171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00918645307781856,0,0,0,0,0,0,0,0.0127450309864349,-0.311715627893707,0,0,0,0.160979798981056
"M0000000179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558744546294997,-0.0169149014794672,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000182",0,0,0,0,0,0,0,0,0,0,-0.435715266997728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000186",0,0,0,0,0,0,0,0,0,0,-0.356420592182798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172451078326073,0,0.0177284643613923,0,0.0319442490523221,0.0204046908723007,0,0,0,0,0,0.0149900661634601,0
"M0000000192",0,0.0625758568547498,0,0,0,0,0,0,0,-75.3678924815459,-0.958223327859517,0,-0.067759599647157,-0.0137272515703885,-0.0712318143686924,0.0915355342023337,0,0,-0.0233542691206684,0,0,0,-0.000204135879822772,0.00446642642089748,-0.252890262316708,0,0.237009622301423,0,0
"M0000000194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000197",0.0244800735997652,0.0531456764630957,0,0,0,0,0,0,0,-34.1459029981604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211433217592954,0,0
"M0000000207",0,0,0,0,0,0,0,0,1.12268768262974,0,-2.5982312069724,0,-0.388099033563308,-0.09689160179873,-0.295676557108464,0.688896094303236,0,0.000853548914696589,0,-20.5556355936361,1.0052769306401,0.517530344661367,-0.48400749411755,0,-0.540527235681398,0,0,0,0
"M0000000209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62768606419272,-0.281667085636316,0,0,0,0,0,0,-0.00570424069766367,0
"M0000000212",0,0,0,0,0,0,0,0,0.27699225914645,-6.80060882436104,0,0,-0.15495556903297,-0.026159136674124,-0.121444065630665,0.361700653069049,0,0,0,0,0,0,-0.342813815123695,0,-1.05602135720597,0,0.077373664830567,0,0
"M0000000213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121381837746217,-0.0892462960767641,0,0,0,0,0,0,0,-0.0208978531044311,0,0,0,0,0
"M0000000234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00759128786490397,0,0,0,0,0,0,0,0,0,0
"M0000000240",0,0,0,0,0,0,0,0,0,63.2224420711819,0,0,0,0,0,0,0,0,0,0,0,0,0.0657712422692872,0,0,0,0,0,0
"M0000000241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000244",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010070773679199,0,0.0114516087364909,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000250",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00321436761342475,0.0262237812578849,0,0,-0.00571965035238232,0.00784437557924192,0,0,0,0.244024994370893,0,0,0,0,0,0
"M0000000252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0423432068535182,0.0882420499923287,0,0,-0.0469273481955703,0,0,0,0,0.0112184324774714,0,0,0,0,0
"M0000000254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.60530150441554e-08,0
"M0000000266",0,0,0,0,0,0,0,0,-0.913854954598395,0,0,0,0.246513847014605,0.0123544925900098,0,-0.287883075157972,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000000267",-0.0331716935633774,0,0,0,0,0,0,0,-0.090517779364864,8.28517096310453,0,0,0.162071556129585,0.0496296534864053,0.0668625004190202,-0.259562043475084,-0.056674654188954,0,0,0,0,-0.0623657167817642,0,0,0.838706637722103,0,0,-0.0424957450013521,0
"M0000000273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244417449084658,0,0,0,0.0621427005996484,0,0,0,0,0,0.0374132852192994,0,-0.0481880023275849,0.0181644945959551,0
