"","AWT_seg_Thirona_P2","BODE_P2","Change_P2_P3_distwalked","Change_P2_P3_FEV1_ml","Change_P2_P3_FEV1_ml_yr","Change_P2_P3_FEV1pp","Change_P2_P3_lung_density_vnb","Chronic_Bronchitis_P2","copd_P2","distwalked_P2","DLco_raw_P2","Exacerbation_Frequency_P2","FEF2575_post_P2","FEV1_FVC_post_P2","FEV1_post_P2","finalGold_P2","FRC_Thirona_P2","FRC_TLC_ratio_Thirona_P2","FVC_post_P2","lung_density_vnb_P2","pctEmph_Thirona_P2","pctGasTrap_Thirona_P2","PEF_post_P2","Pi10_Thirona_P2","Resting_SaO2_P2","Severe_Exacerbations_P2","SGRQ_scoreTotal_P2","TLC_Thirona_P2","WallAreaPct_seg_Thirona_P2"
"(Intercept)",1.15378007563215,-2.78309719301979,-111.590076335878,-216.048814504881,-41.6994421199442,-2.0685275645499,-0.861926786646388,-1.96814482927289,1.77522766229506,1782.35906073261,24.4422718086183,-1.22050210627715,1.55692218711251,0.525660675566407,3.39020613079878,1.94841224268607,0.898308623341181,0.556477995971529,4.33175314882512,89.8375349341523,-1.16626017991828,1.88138554789297,5.71858629701463,0.458028394480467,98.8540726362688,-2.33374026077384,2.73340389011293,1.55379153042197,44.5468272649244
"ENSG00000000419.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000457.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000460.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229609173070634,-0.00985945837249291,0,0,0,0,0,0,0,0,0,0
"ENSG00000000938.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000103964812872054,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000971.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153097493200006,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001036.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001084.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001167.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000225878591662789,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001460.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001461.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001497.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000168562930541706,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001561.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001629.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
